tournament_name,winner_winners,winner_ue,winner_aces,winner_df,loser_winners,loser_ue,loser_aces,loser_df
Wimbledon,15,4,3,1,17,14,6,0
Wimbledon,20,10,6,1,14,27,4,3
Wimbledon,27,23,8,3,17,14,5,2
Wimbledon,18,31,3,1,35,44,5,3
Wimbledon,12,12,2,3,14,19,4,3
Wimbledon,17,11,4,2,18,9,8,0
Wimbledon,34,21,5,3,31,35,8,4
Wimbledon,18,14,3,3,20,35,7,4
Wimbledon,32,6,12,2,14,6,3,2
Wimbledon,28,8,6,1,21,16,4,2
Wimbledon,19,13,3,2,5,17,1,2
Wimbledon,18,16,3,6,27,31,7,1
Wimbledon,14,12,4,1,26,24,3,3
Wimbledon,47,48,9,2,34,27,6,8
Wimbledon,41,36,16,8,25,23,6,5
Wimbledon,22,5,4,1,15,16,2,3
Wimbledon,13,8,3,0,18,18,3,0
Wimbledon,26,14,10,3,23,22,7,3
Wimbledon,29,22,13,1,21,23,1,1
Wimbledon,29,25,4,2,16,21,5,3
Wimbledon,16,6,8,1,11,14,1,5
Wimbledon,41,22,12,1,26,32,3,4
Wimbledon,23,23,7,4,16,20,4,5
Wimbledon,29,12,9,4,20,13,8,4
Wimbledon,20,10,5,4,13,27,0,3
Wimbledon,21,19,6,6,16,21,6,4
Wimbledon,14,16,8,5,26,35,5,6
Wimbledon,18,13,5,2,15,30,4,6
Wimbledon,20,5,4,0,14,8,5,1
Wimbledon,24,11,12,5,15,12,12,3
Wimbledon,29,38,5,8,31,32,14,9
Wimbledon,22,9,11,3,3,16,0,4
Wimbledon,8,9,2,1,17,26,7,5
Wimbledon,40,27,10,6,24,19,14,6
Wimbledon,13,11,5,3,20,18,9,2
Wimbledon,18,14,2,0,27,29,10,1
Wimbledon,28,9,11,3,17,6,8,4
Wimbledon,20,13,3,1,19,16,7,6
Wimbledon,29,24,4,4,34,60,3,6
Wimbledon,30,26,5,2,23,44,6,11
Wimbledon,34,25,3,3,41,60,4,3
Wimbledon,46,30,16,7,79,66,39,10
Wimbledon,34,11,7,1,31,23,11,5
Wimbledon,38,15,18,1,24,13,10,3
Wimbledon,24,28,2,11,55,53,10,12
Wimbledon,32,17,20,11,44,25,16,4
Wimbledon,52,42,8,3,37,43,13,4
Wimbledon,37,17,15,1,7,19,2,2
Wimbledon,33,22,9,4,34,34,9,8
Wimbledon,41,25,0,0,31,23,12,5
Wimbledon,55,51,19,11,50,39,9,5
Wimbledon,29,19,1,3,17,28,5,5
Wimbledon,56,16,15,4,54,21,27,4
Wimbledon,38,26,8,7,20,14,6,3
Wimbledon,31,20,7,2,17,29,8,2
Wimbledon,28,35,12,4,34,44,8,2
Wimbledon,42,15,9,5,27,32,7,8
Wimbledon,41,22,16,4,36,37,8,7
Wimbledon,25,18,7,1,21,24,5,4
Wimbledon,43,18,16,1,33,27,9,3
Wimbledon,25,11,2,1,28,20,10,0
Wimbledon,60,57,13,5,33,38,5,5
Wimbledon,31,11,3,0,8,20,0,3
Wimbledon,33,26,8,5,57,38,19,10
Wimbledon,30,14,12,5,21,28,2,4
Wimbledon,29,27,7,3,32,42,8,7
Wimbledon,54,32,16,3,28,22,7,4
Wimbledon,67,48,33,5,44,25,16,4
Wimbledon,41,38,9,5,28,27,6,4
Wimbledon,72,52,31,5,20,33,1,5
Wimbledon,56,17,14,1,37,19,13,2
Wimbledon,61,49,20,8,28,22,4,2
Wimbledon,32,18,11,6,34,45,9,5
Wimbledon,60,47,14,6,68,41,19,7
Wimbledon,74,36,21,4,46,55,6,10
Wimbledon,66,49,6,7,42,29,9,3
Wimbledon,47,29,22,4,30,34,6,1
Wimbledon,35,30,8,5,48,50,12,8
Wimbledon,39,29,6,3,30,36,12,7
Wimbledon,33,14,16,4,40,20,11,2
Wimbledon,41,50,7,8,34,52,6,10
Wimbledon,25,16,5,0,14,15,2,1
Wimbledon,33,18,14,0,17,29,3,3
Wimbledon,30,30,15,7,15,22,3,2
Wimbledon,29,15,9,1,12,24,6,4
Wimbledon,36,12,19,3,36,30,10,4
Wimbledon,44,34,11,7,49,30,14,3
Wimbledon,27,6,8,0,38,24,8,1
Wimbledon,34,22,19,3,23,37,3,6
Wimbledon,43,27,6,3,41,45,16,6
Wimbledon,21,20,7,7,8,30,0,4
Wimbledon,42,29,16,6,31,39,7,9
Wimbledon,30,40,16,6,33,42,11,2
Wimbledon,43,33,25,2,11,25,3,3
Wimbledon,45,39,20,1,38,36,6,6
Wimbledon,29,27,13,2,19,21,3,4
Wimbledon,41,18,1,0,32,25,4,1
Wimbledon,35,27,7,1,23,44,7,8
Wimbledon,36,33,9,5,35,41,11,2
Wimbledon,38,27,10,3,10,22,4,1
Wimbledon,47,42,11,2,39,32,10,10
Wimbledon,39,22,13,1,39,25,16,2
Wimbledon,30,29,7,3,39,50,10,2
Wimbledon,52,38,16,5,29,26,7,7
Wimbledon,46,25,14,4,49,43,23,3
Wimbledon,44,33,15,3,25,28,4,3
Wimbledon,66,47,27,4,45,46,10,7
Wimbledon,47,8,23,1,25,19,13,5
Wimbledon,32,26,16,2,28,38,12,3
Wimbledon,40,15,16,0,26,23,8,3
Wimbledon,58,25,15,2,49,45,17,2
Australian Open,13,16,2,2,14,34,4,1
Australian Open,38,29,10,3,38,34,14,2
Australian Open,23,13,8,0,22,21,5,0
Australian Open,29,22,1,4,13,15,5,1
Australian Open,26,33,7,3,24,31,3,2
Australian Open,28,16,9,6,31,33,9,1
Australian Open,36,27,13,1,32,34,10,4
Australian Open,33,28,6,3,19,21,3,5
Australian Open,19,11,6,0,16,16,3,1
Australian Open,23,18,6,1,13,21,3,2
Australian Open,25,15,10,0,12,23,2,1
Australian Open,25,21,4,2,22,17,1,0
Australian Open,20,11,9,2,13,22,5,2
Australian Open,25,24,9,5,23,22,6,0
Australian Open,27,38,3,2,33,41,5,0
Australian Open,16,14,5,0,25,37,5,6
Australian Open,31,21,9,2,15,12,8,0
Australian Open,15,24,6,3,10,35,1,5
Australian Open,26,13,9,0,17,28,6,5
Australian Open,27,38,10,2,10,21,2,3
Australian Open,22,16,3,2,21,30,3,0
Australian Open,15,18,3,1,10,26,2,3
Australian Open,14,17,0,2,22,36,6,2
Australian Open,13,17,1,3,23,29,5,6
Australian Open,17,21,4,2,17,23,2,2
Australian Open,11,18,2,2,14,25,2,1
Australian Open,20,32,5,4,22,32,7,2
Australian Open,26,21,1,0,47,49,11,3
Australian Open,25,26,6,4,11,17,0,2
Australian Open,29,12,4,0,8,21,1,4
Australian Open,21,12,5,1,40,34,15,2
Australian Open,24,18,9,2,53,55,13,7
Australian Open,39,35,6,1,31,31,2,2
Australian Open,49,43,3,1,47,33,7,2
Australian Open,18,12,4,2,16,21,7,2
Australian Open,63,51,13,6,26,14,9,1
Australian Open,21,20,4,4,32,35,15,4
Australian Open,21,25,3,3,6,11,1,0
Australian Open,27,33,4,5,36,41,12,5
Australian Open,37,17,10,2,11,15,0,5
Australian Open,15,15,4,0,9,33,1,2
Australian Open,44,40,5,3,30,28,4,4
Australian Open,34,21,5,2,16,22,4,1
Australian Open,22,17,9,6,25,33,6,4
Australian Open,25,23,9,2,34,52,9,0
Australian Open,21,29,3,1,10,17,1,2
Australian Open,19,23,1,2,17,37,2,3
Australian Open,20,23,2,5,37,51,4,8
Australian Open,34,11,12,1,21,18,1,2
Australian Open,40,32,8,0,28,30,5,2
Australian Open,27,25,10,2,25,48,7,1
Australian Open,20,6,7,0,17,23,7,1
Australian Open,17,28,3,3,10,28,2,3
Australian Open,23,26,6,6,27,41,6,2
Australian Open,28,23,10,3,49,38,7,5
Australian Open,20,7,5,0,19,20,6,1
Australian Open,39,34,7,8,35,36,10,3
Australian Open,48,41,13,3,13,12,4,2
Australian Open,30,29,4,2,29,33,14,5
Australian Open,29,20,2,0,13,20,2,3
Australian Open,20,8,5,1,19,27,9,3
Australian Open,42,32,9,2,22,23,9,3
